,zipf_mean_k,zipf_std_k,zipf_slope,zipf_r_squared,total_words,unique_words,entropy,max_entropy,normalized_entropy,ttr,rttr,mtld,mean_length,median_length,std_length,min_length,max_length,percentile_25,percentile_75
dishu_word,2485.6992818671456,624.6191329715814,-1.0839974227140923,0.9484047553500573,18516,2228,8.629617832263918,11.121533517340032,0.7759377624325937,0.12032836465759343,16.3735028768165,8362.622696271803,0.0,0.0,0.0,0,0,0.0,0.0
dishu_sentence,1733.1155080213903,333.948339732014,-1.0221923387123568,0.9621335200036278,12514,1870,8.399118359599598,10.868822554774999,0.772771688678422,0.1494326354482979,16.716429890629072,5395.155723408882,0.0,0.0,0.0,0,0,0.0,0.0
