corpus,num_sentences,avg_sentence_length_chars,std_sentence_length_chars,median_sentence_length_chars,min_sentence_length_chars,max_sentence_length_chars,avg_sentence_length_words,char_count,word_count,unique_words,ttr,rttr,zipf_slope,zipf_r_squared,entropy,normalized_entropy,lexical_density,punct_period_count,punct_period_ratio,punct_exclamation_count,punct_exclamation_ratio,punct_question_count,punct_question_ratio,punct_comma_count,punct_comma_ratio,punct_semicolon_count,punct_semicolon_ratio,punct_colon_count,punct_colon_ratio,punct_quote_count,punct_quote_ratio,punct_dash_count,punct_dash_ratio,punct_ellipsis_count,punct_ellipsis_ratio
dishu,837.0,33.80286738351254,60.70254239869864,24.0,4.0,1599.0,4.507765830346475,29993.0,3773.0,2485.0,0.6586270871985158,40.45600464317147,-0.42602257945141464,0.8535550192030481,10.814797022316215,0.9588410431998755,0.08285266562197846,797.0,0.026572867002300538,39.0,0.0013003034041276298,3.0,0.00010002333877904845,1360.0,0.0453439135798353,52.0,0.001733737872170173,55.0,0.0018337612109492216,24.0,0.0008001867102323876,8.0,0.00026672890341079586,69.0,0.002300536791918114
news,214.33333333333334,47.02067737482468,33.48160936385312,37.5,1.6666666666666667,195.33333333333334,4.997885801208292,10000.0,1050.0,881.6666666666666,0.843890049515767,27.243179066745142,-0.2407851056380664,0.5872810109263662,9.572914055617579,0.9787130203103592,0.08816666666666667,186.33333333333334,0.01863333333333333,4.666666666666667,0.00046666666666666666,22.333333333333332,0.0022333333333333333,420.6666666666667,0.04206666666666667,3.6666666666666665,0.00036666666666666667,47.0,0.0047,0.0,0.0,19.0,0.0019,4.666666666666667,0.00046666666666666666
novel,1720.111111111111,29.90157253558603,22.119218600307185,24.666666666666668,1.1111111111111112,174.55555555555554,3.1312732482714414,50000.0,4988.0,4682.222222222223,0.9385361474561584,66.26831113889838,-0.1098942898534711,0.34593713741024457,12.086944867933457,0.9915027453567377,0.09364444444444445,1213.3333333333333,0.02426666666666667,245.77777777777777,0.004915555555555556,301.0,0.00602,2733.8888888888887,0.05467777777777778,4.444444444444445,8.888888888888889e-05,225.44444444444446,0.004508888888888889,355.8888888888889,0.007117777777777778,91.44444444444444,0.0018288888888888888,349.0,0.00698
